tier,risk_score_scaled,crime_count,severity_weighted_count,ntl_mean_radiance,employment_deprivation,resolution_rate,n_lsoas,pct_london
1,80.79,4120.31,552547.3,168.04,7818.87,7.73,89,1.8
2,77.53,648.93,179841.45,44.29,27747.98,9.23,1097,22.0
3,74.48,552.16,149507.62,35.84,22108.55,8.17,1277,25.6
4,70.4,435.74,114418.11,29.19,16450.16,7.76,1018,20.4
5,66.37,343.22,85135.09,25.76,9835.77,7.41,737,14.8
6,62.42,293.43,64179.09,28.66,2882.53,6.27,776,15.5
