station,lat,lon
Hayes & Harlington,51.5033128,-0.4201907
Headstone Lane,51.6020139,-0.356179
Heathrow Terminal 4,51.4588093,-0.4454717
Heathrow Terminal 5,51.4722216,-0.4877251
Heathrow Terminals 2&3,51.4713416,-0.452483
Hendon Central,51.5840042,-0.2285663
Heron Quays,51.5029301,-0.0215033
High Barnet,51.6493195,-0.1930976
High Street Kensington,51.5007027,-0.1941799
Highams Park,51.6084767,0.0003285
Highbury & Islington,51.5463679,-0.1036544
Highgate,51.576829,-0.1453817
Hillingdon,51.5536028,-0.4504637
Holborn,51.517111,-0.1202791
Holland Park,51.5073593,-0.2056645
Holloway Road,51.552042,-0.1114402
Homerton,51.5470011,-0.0422183
Honor Oak Park,51.4495759,-0.0445804
Hornchurch,51.5538747,0.2181092
Hounslow Central,51.4717952,-0.3672703
Hounslow East,51.4729366,-0.3567643
Hounslow West,51.4725589,-0.3853299
Hoxton,51.5291543,-0.0749998
Hyde Park Corner,51.5030443,-0.1531587
Ickenham,51.5640163,-0.4436766
Ilford,51.5585617,0.067971
Imperial Wharf,51.4748036,-0.1830576
Island Gardens,51.4879031,-0.0097721
Iver,51.500824,-0.4863637
Kennington,51.4882204,-0.1054988
Kensal Green,51.5298151,-0.2233707
Kensal Rise,51.533916,-0.2191431
Kensington Olympia,51.4981207,-0.2094777
Kentish Town,51.5513617,-0.1409954
Kentish Town West,51.5469937,-0.1467554
Kenton,51.5814418,-0.3182647
Kew Gardens,51.4770863,-0.2851949
Kilburn,51.5469317,-0.2042909
Kilburn High Road,51.5378615,-0.1931964
Kilburn Park,51.5347786,-0.1935916
King George V,51.502006,0.0623526
Kings Cross St Pancras,51.5377263,-0.1233012
Kingsbury,51.584849,-0.2793412
Knightsbridge,51.5008494,-0.1601499
Ladbroke Grove,51.5178295,-0.2104073
Lambeth North,51.4980716,-0.1122389
Lancaster Gate,51.5117416,-0.1751552
Langdon Park,51.5143785,-0.0146937
Latimer Road,51.5137526,-0.2174163
Leicester Square,51.5105612,-0.1284754
Lewisham DLR,51.464845,-0.0128936
Leyton,51.5568183,-0.0051322
Leyton Midland Road,51.5694747,-0.0070756
Leytonstone,51.5688065,0.0091252
Leytonstone High Road,51.5635395,0.0098456
Limehouse DLR,51.5124503,-0.0398601
Liverpool St NR,51.5177164,-0.0836855
Liverpool Street,51.518127,-0.0825546
London Bridge,51.5048764,-0.0851473
London City Airport,51.5035322,0.048542
London Fields,51.5410518,-0.0577737
Loughton,51.4668087,0.1468586
Maida Vale,51.5298672,-0.1857447
Maidenhead,51.5002795,-0.7645941
Manor House,51.5719942,-0.0966262
Manor Park,51.5526322,0.0467221
Mansion House,51.5126558,-0.0948153
Marble Arch,51.513435,-0.1582531
Maryland,51.5471498,0.0060295
Marylebone,51.5226092,-0.1631475
Mile End,51.5253494,-0.0332119
Mill Hill East,51.6084962,-0.2105649
Monument,51.5107942,-0.0849072
Moor Park,51.4913231,-0.4854394
Moorgate,51.5182516,-0.0890625
Morden,51.4022682,-0.1946882
Mornington Crescent,51.5341125,-0.1389888
Mudchute,51.4916048,-0.014791
Neasden,51.553993,-0.2497912
New Cross,51.4756875,-0.0311729
New Cross Gate,51.4748719,-0.0410958
Newbury Park,51.5756436,0.0904863
Nine Elms,51.4793426,-0.1286945
North Acton,51.5235769,-0.2597818
North Ealing,51.5163646,-0.2916007
North Greenwich,51.5004777,0.0029742
North Harrow,51.5846049,-0.3623408
North Wembley,51.5625907,-0.3057586
Northfields,51.4988253,-0.3143921
Northolt,51.5484582,-0.3695247
Northwick Park,51.578491,-0.3176997
Northwood,51.6108082,-0.4235307
Northwood Hills,51.6004227,-0.4095424
Norwood Junction,51.3978335,-0.0738696
Notting Hill Gate,51.5089252,-0.1961978
Oakwood,51.6474897,-0.1318765
Old Street,51.5256284,-0.0876094
Osterley,51.4810147,-0.3519792
Oval,51.4825301,-0.1131511
Oxford Circus,51.5154418,-0.1419563
Paddington,51.5176622,-0.1799968
Park Royal,51.5269769,-0.2844504
Parsons Green,51.4751358,-0.2018604
Peckham Rye,51.4692572,-0.0678717
Penge West,51.4174041,-0.0617741
Perivale,51.5366575,-0.3237865
Piccadilly Circus,51.5098192,-0.1345484
Pimlico,51.4889309,-0.1330996
Pinner,51.5943501,-0.3826741
Plaistow,51.5312219,0.0181524
Poplar,51.5077131,-0.0172859
Preston Road,51.5723577,-0.2947663
Prince Regent,51.5099815,0.0330332
Pudding Mill Lane,51.5338301,-0.0135365
Putney Bridge,51.4678801,-0.2090586
Queens Park,51.5360591,-0.2112431
Queens Rd Peckham,51.4741117,-0.0570532
Queensbury,51.5947111,-0.2850582
Queensway,51.5101232,-0.1882589
Ravenscourt Park,51.494212,-0.2367109
Rayners Lane,51.5751352,-0.3709086
Reading,51.5338494,-0.2261117
Rectory Road,51.5585066,-0.0682106
Redbridge,51.575863,0.0458398
Regents Park,51.5329736,-0.1645336
Richmond,51.4632778,-0.3015694
Rickmansworth,51.6072157,-0.4281923
Roding Valley,51.6171748,0.0438665
Romford,51.5745512,0.1834662
Rotherhithe,51.5006085,-0.0519932
Royal Albert,51.5083952,0.0458839
Royal Oak,51.5191279,-0.188624
Royal Victoria,51.5091168,0.0175913
Ruislip,51.5715259,-0.4213483
Ruislip Gardens,51.5601316,-0.4106596
Ruislip Manor,51.5731906,-0.4127193
Russell Square,51.5234289,-0.124118
Seven Kings,51.5644305,0.0986038
Seven Sisters,51.5840268,-0.0741036
Shadwell LO,51.5094102,-0.0515703
Shenfield,51.5311671,-0.0781146
Shepherds Bush,51.5040544,-0.2247685
Shepherds Bush LO,51.5041313,-0.2191496
Shoreditch High Street,51.5240759,-0.0797314
Silver Street,51.6152781,-0.0669005
Sloane Square,51.4923207,-0.1571887
Slough,51.5098978,-0.5357882
Snaresbrook,51.5809276,0.0221438
South Acton,51.4997225,-0.2698979
South Ealing,51.5013247,-0.3070199
South Hampstead,51.5414337,-0.1788007
South Harrow,51.5648147,-0.3524182
South Kensington,51.4942114,-0.1750557
South Kenton,51.5706287,-0.3073608
South Quay,51.4999568,-0.0147359
South Ruislip,51.5565752,-0.3986189
South Tottenham,51.58046,-0.0722571
South Wimbledon,51.4153575,-0.1922052
South Woodford,51.5919385,0.027636
Southall,51.5054992,-0.378866
Southbury,51.6487014,-0.0525297
Southfields,51.4440961,-0.2074366
Southgate,51.6323052,-0.1278154
Southwark,51.5032295,-0.1044786
St James Street,51.5813327,-0.0324104
St James's Park,51.4977832,-0.1344199
St Johns Wood,-27.4430062,152.9709496
St Pauls,51.4039644,0.1040406
Stamford Brook,51.4947956,-0.24513
Stamford Hill,51.5745682,-0.0777771
Stanmore,51.6197796,-0.3028244
