tier,risk_score_scaled,crime_count,severity_weighted_count,seasonal_volatility,stop_search_rate,employment_deprivation,resolution_rate,total_footfall,n_lsoas,pct_london
1,62.26,2777.67,229814.64,20.33,3248.62,21217.16,15.82,15889711.73,142,2.8
2,55.92,576.71,72097.69,6.32,605.63,27706.52,8.84,539583.22,1100,22.0
3,54.12,516.46,61848.76,5.81,395.88,21862.94,7.92,1090075.55,1246,24.9
4,51.89,430.8,50188.49,5.16,260.59,16058.59,7.37,916942.5,975,19.5
5,49.88,398.24,42511.26,4.74,225.57,9531.08,7.31,1644625.7,737,14.8
6,47.39,405.62,38229.91,4.57,202.39,2754.84,6.36,2084568.75,794,15.9
